year;latitude;longitude;notes;external
1709;51.49847923861978;-0.13602878042143146;;1210081
1720;51.521691499845204;-0.10403787393545795;Not ideal since it's painted;1298117
1721;51.521771574798144;-0.1169785054747621;;1113197
1723;51.45765576584339;-0.19479679871373656;;1183550
1726;51.49629658939845;-0.12719965924515406;;1236244
1734;51.51224015403307;-0.13018447812612177;;1066781
1744;51.50915474122385;-0.147370808544066;;1357097
1748;51.51377886299489;-0.11091931686837486;Retake photo once construction is complete;1064693
1766;51.53526997170914;-0.10354325584000838;;1195492
1767;51.48471848107251;-0.16978063912654928;;1227012
1790;51.53475540970112;-0.10290596296588374;;1280131
1816;51.48529566789432;-0.28660791759901183;;1194151
1823;51.55619485881125;-0.16985801007078266;;1356750
1824;51.51996665814722;-0.16145252877402855;;1066062
1826;51.50156555699284;-0.15705257018722305;;1251180
1830;51.512196862800046;-0.12228882814026706;;1066949
1834;51.51154928820497;-0.11957324166149164;A better photo is needed;1066119
1835;51.52715603736351;-0.10886109503838536;;1204342
1838;51.53438679298692;-0.10458337967825886;;1195775
1839;51.48791993874699;-0.19402712099172004;;1225715
1840;51.52519061371282;-0.10455769143410383;;1209479
1848;51.5151682770451;-0.1128261536588332;Hardly a facade
1850;51.50683089044675;-0.08835894613279457;;1376633
1852;51.50143864555351;-0.1925180876521875;;1223748
1861;51.47905493625614;-0.15482418562066752;Retake photo when there is no party around;1225940
1862;51.52002553160404;-0.13989657229235897;;1225397
1863;51.51991313977862;-0.15189308940352775
1865;51.51524063867458;-0.11224481523620744;;1066310
1866;51.52085361822662;-0.15204346507493086;;1267743
1869;51.491754158670695;-0.10556154853181551;;1251239
1872;51.533805611907304;-0.10502787664664018;;1207639
1873;51.55686160358814;-0.17855375439158266;;1378826
1874;51.486220666770585;-0.1652195975638562
1875;51.492898227374305;-0.23605706435895332
1876;51.52901046006989;-0.10344638054641554;Retake the photo when construction is complete;1297994
1878;51.50225389232734;-0.09777086265129277;Retake photo when once construction is complete;1385916
1879;51.51363379377558;-0.12235376231830868;;1066393
1880;51.46231963007184;-0.30386212156577386;;1096068
1882;51.51267601225725;-0.13652747103585033;;1213696
1883;51.45688784070135;-0.19278389916146296;;1391087
1884;51.49127028353703;-0.2002185815840954;;1266119
1886;51.49542046655456;-0.16133364762953536;;1358109
1887;51.51434737135173;-0.10129390094287034;;1064742
1889;51.51662431229585;-0.138591338918972;;1211009
1890;51.4917065076334;-0.11890162231838927
1894;51.49351509740085;-0.24494205049341808
1896;51.499315909348844;-0.16558587585727838
1897;51.49756909347076;-0.15924721516165202;;1226629
1898;51.50648258966869;-0.12704478689909385;;
1899;51.531484148676086;-0.10602869408009678;;1195738
1900;51.491351158667854;-0.26533081752309784;;1260615
1901;51.551752501726476;-0.19269477900208365;;1379177
1903;51.50241134635818;-0.22589630662998486
1904;51.49962117850561;-0.16637723166738133
1905;51.4748164774283;-0.22060844720414502;;1079754
1906;51.51151898820374;-0.1365725714120233;Hardly a facade
1907;51.4825125835405;-0.22337876190495043
1908;51.493947215594496;-0.20961046497293892;;1192446
1910;51.50259073133474;-0.11054840182723785;;1249651
1911;51.49855627563943;-0.16264898157580732;;1294346
1912;51.4858548662263;-0.17595556945053117;Check August 2020 to verify;1031506
1913;51.49561429449592;-0.21934561954130852;;1079844
1914;51.513596653731256;-0.1120202349541296
1915;51.517989188157784;-0.13991853542653138;;1267275
1920;51.50853180214528;-0.1504398358152587;;1236368
1924;51.51613997834704;-0.2052375194195213
1925;51.49688392337117;-0.12863013544703802;;1380170
1929;51.53161440573577;-0.13452690989194183
1932;51.524486102173746;-0.168959155361982
1933;51.496855668873025;-0.17404722057261884
1936;51.50345166547039;-0.10651402477112712
1969;51.52296639007307;-0.10568060878887817;;1279541
1979;51.50107890577769;-0.18952437117097545;;1224373
1985;51.499137826754534;-0.10916729058594485
1988;51.51995755900059;-0.15303397064267749;Retake the photo
1993;51.49122137346518;-0.23167309975822403
1999;51.49285967213844;-0.2335728686373021
2000;51.51559107085581;-0.1950800616770617
