year;latitude;longitude;notes;external
1669;51.366376853500455;-0.30684944046646584;;1184479
1719;51.506665651285076;-0.0579892712400174;Impossible to read in Google maps atm, should be better once restored;1260423
1721;51.521771574798144;-0.1169785054747621;;1113197
1743;51.519333598688156;-0.07204781306439809;;1240697
1760;51.50383135264198;-0.06128506922640199;;1065086
1762;51.51409465106592;-0.07037618527045207;;1065325
1766;51.53526997170914;-0.10354325584000838;;1195492
1767;51.4955623949858;-0.36575359610833696;;1079381
1785;51.478984550230265;-0.3259104361624849;;1240256
1790;51.53475540970112;-0.10290596296588374;;1280131
1812;51.54637235101121;-0.08174232808540169;;1193012
1816;51.48529566789432;-0.28660791759901183;;1194151
1821;51.50102111463678;-0.05415798161825088;;1385866
1822;51.50024120156741;-0.06419443218089635;;1385524
1823;51.55619485881125;-0.16985801007078266;;1356750
1824;51.51996665814722;-0.16145252877402855;;1066062
1826;51.50156555699284;-0.15705257018722305;;1251180
1829;51.49135484522112;0.06955560536950561;;1079080
1835;51.52715603736351;-0.10886109503838536;;1204342
1838;51.53438679298692;-0.10458337967825886;;1195775
1840;51.52519061371282;-0.10455769143410383;;1209479
1842;51.490713568647855;0.06430737577769526;;1079064
1850;51.50683089044675;-0.08835894613279457;;1376633
1854;51.499055934136145;0.06335156553439077;;1376229
1858;51.514040410109324;-0.07058651440386456;;1065751
1860;51.51103204801751;-0.0585326598684329;;1242346
1864;51.41074957336541;-0.30021478961622816;;1184637
1868;51.508432465297346;-0.07893555143274959
1870;51.509030345289496;-0.015565358847997769;;1260135
1873;51.55686160358814;-0.17855375439158266;;1378826
1877;51.55123480899446;-0.16634608919477561;;1378818
1878;51.50225389232734;-0.09777086265129277;;1385916
1881;51.51287088446407;-0.08346550614377943;;1286182
1887;51.51434737135173;-0.10129390094287034;;1064742
1888;51.47947714041442;-0.007943827241343576
1891;51.526110625913276;-0.027550670605991135
1892;51.57607292023583;-0.029968151294945646;;1391928
1893;51.52374728812829;-0.07846580212247177
1894;51.519995191496065;-0.0568855149701425
1895;51.52142671357642;-0.09445603724564877;;1262632
1896;51.4646337076582;0.009301754363103189;;1213950
1897;51.50482520885608;-0.11081581979973493
1899;51.531484148676086;-0.10602869408009678;;1195738
1901;51.551752501726476;-0.19269477900208365;;1379177
1902;51.52761427759272;-0.1307954230143162;;1342074
1903;51.4864943335234;0.09639768502470046;;1430680
1904;51.45876931464815;0.05432071021885597;Hardly a facade;1392379
1906;51.652988999068505;-0.0726415888113681;;1389537
1907;51.51389305345233;-0.04603021813304363;;1393589
1909;51.51481468870658;-0.059227641607693504
1912;51.4858548662263;-0.17595556945053117;Check August 2020 to verify;1031506
1913;51.50130125225002;-0.05094591897299205
1919;51.52838568117278;-0.018955591995673187
1921;51.51439589455065;-0.05385178971555038
1922;51.528975682275586;-0.11586027364646377
1923;51.529519856043954;-0.06927860411786867;;1426765
1926;51.506598297566164;-0.26677317202584194
1929;51.53161440573577;-0.13452690989194183
1931;51.50450052620141;-0.3063282571404384
1936;51.50345166547039;-0.10651402477112712
