year,latitude,longitude,notes,external
1575,51.02041946772488,0.2615640207035947,,1028215
1577,50.872205861038275,0.004118697306039961,,1191443
1712,50.80429318184203,-0.05772031169200133,,
1724,50.807029951644225,-0.05954560654420038,,1381008
1750,50.82007634371007,-0.14005783664672825,,1381637
1819,50.82027101498947,-0.13794973827612603,,1380677
1841,50.82436384784516,-0.15388839369851492,,1379976
1846,50.81725443541366,-0.11749110475440262,,1379993
1857,51.114911471789235,0.18549982752530797,,
1858,51.04511905260352,0.21936234101964042,,
1868,50.872023956154436,0.006549200139550026,,1191537
1885,51.05305140523682,0.2185426070191003,,
1886,51.09503936069076,0.20336131311071015,,
1889,51.04515762001534, 0.21958487587173098,,1194105
1891,50.81912217271996,-0.1239040074582801,,
1896,50.82621033726481,-0.1420692953514744,,
1904,50.97327756810273,0.2207271211217026,,
1905,51.02012079657079,0.2592445971239949,,
1914,50.82096548106133,-0.13455930638858804,,