year,latitude,longitude,notes,external
1647,53.55682533272649,-2.7220757455423463,TODO,1219837
1650,53.593811900061965,-2.906775229280001,TODO,1073118
1653,53.731768034647395,-2.727750174952072,TODO,1361896
1659,53.65027587967841,-2.7311159233725233,TODO,1317953
1667,53.55413499630956,-2.757717959593395,TODO,1219643
1768,53.563289981837464,-2.844434181504066,TODO,1197070
1770,53.62798866667098,-2.7764583077853975,TODO,1164800
1778,53.67926954244122,-2.8327116139825246,TODO,1361824
1781,53.82095016385926,-2.4063090770405475,TODO,1072044
1793,53.81191540977165,-2.5326424967962935,TODO,1147455
1796,53.8578413082893,-2.2714159808986185,TODO,1073455
1798,53.68564328081307,-2.637654624279735,TODO,1361857
