year,latitude,longitude,notes,external
1622,53.63974531356683,-2.1929962362141002,TODO,1084252
1648,53.533293277552445,-2.0503086306140212,TODO,1164611
1678,53.63449625940493,-2.179306590545361,TODO,1055734
1699,53.551042021870686,-1.996095236194317,TODO,1068130
1715,53.60498938021097,-2.0712597669097668,TODO,1356226
1716,53.516009926357974,-2.583862015404694,TODO,1356250
1717,53.40168159684792,-2.4500830044850073,TODO,1347811
1735,53.44225628181594,-2.0971366304246106,TODO,1356485
1749,53.533746404323004,-2.050034939397119,TODO,1235737
1752,53.38835793999124,-2.4149138932333063,TODO,1337667
1756,53.556032259558975,-2.0145926764063646,TODO,1068087
1759,53.38948622293105,-2.3923261595725243,TODO,1067913
1764,53.38053234945709,-2.185443271942082,TODO,1241729
1773,53.58899915601493,-2.3589555795260893,TODO,1067270
1832,53.50233794351952,-2.180902510654716,,1200815
1845,53.4778798558999,-2.2465156165669837,,1246667
1858,53.485412338495806,-2.2350337069524175,,1254687
1862,53.48121666779387,-2.2479055643523567,,
1868,53.479802560206814,-2.2425819597005794,TODO,1282966
1878,53.484638133360306,-2.237647868317814,,1270655
1881,53.48481315792378,-2.2379415645379126,,
1898,53.480888918501655,-2.2485452681621316,,
1903,53.48478286315207,-2.2429438023387624,,1282970