year,latitude,longitude,notes,external
1693,51.19271138927652,-2.3614975391439326,TODO,1174737
1697,51.30063273837568, -2.324309880298963,TODO,1058132
1698,51.26684408486354,-2.2846394940262833,TODO,1058214
1706,51.39509031382486,-2.3882225033684494,TODO,1394042
1739,51.38252489885143,-2.360744459509861,TODO,1395448
1745,51.36134230253197,-2.4813207002229523,TODO,1320779
1747,51.40480704238451,-2.4529482934846696,TODO,1384663
1763,51.266788874561385,-2.2848270237031842,TODO,1173829
1801,51.189968166314664,-2.548022776909854,TODO,1172722
1803,51.17288629157772,-2.6206041803941744,TODO,1058838
1815,51.38966196777405,-2.3578359473798733,TODO,1394841
1818,51.43616669440828,-2.645057649719757,TODO,1312072
1837,51.39061686984914,-2.3553570223670324,TODO,1395598
