year,latitude,longitude,notes,external
1607,50.784882300518056,-0.7903458886897798,TODO,1026225
1720,50.83928536449385,-0.7420157996039726,TODO,1026295
1754,50.832393558124515,-0.27499791365108894,,1027901
1758,50.86157638530915,-0.9263605847550551,TODO,1234661
1881,51.118732725775686,-0.1572428017233331,,
1897,51.10407479275179,-0.08506923676832027,,
1898,50.9958191036349,-0.06681543318895576,,
1901,51.104162248395134,-0.08555758388592892,,
1954,51.1058738412073,-0.08540863771643899,,
1956,51.103874057070755,-0.0855517119923174,,1025569