year,latitude,longitude,notes,external
1611,53.75002630064175,-1.4566859161662744,TODO,1135675
1618,53.676035920134964,-1.9149222493668128,TODO,1232702
1625,53.83781375572103,-1.5912107845789756,TODO,1375330
1627,53.71773334717786,-1.950320495774765,TODO,1185606
1630,53.8374065418849,-1.7328848362167872,TODO,1133673
1634,53.7319460592759,-1.9391404416778009,TODO,1134506
1637,53.853812430509365,-1.479061747467493,TODO,1375129
1704,53.83747404621088,-1.7063973166331907,TODO,1314323
1710,53.89478170228302,-1.9505595531350155,TODO,1066565
1737,53.67607475196065,-1.9292026774356457,TODO,1232391
1757,53.79099366717839,-1.8506975418707463,TODO,1132990
1771,53.72686473440512,-1.8123717973029807,TODO,1133834
1930,53.650338606843505,-1.7841306051923058,TODO,1464388
