year,latitude,longitude,notes,external
1602,51.196128751423295,-1.9027197213948768,TODO,1355661
1635,51.13549581540776,-1.9481054332653198,TODO,1284224
1636,51.08035286315714,-1.881133594123886,TODO,1283764
1642,51.44848292714915,-1.947150190091244,TODO,1283163
1644,51.411549406060885,-2.1993673249390113,TODO,1022068
1656,51.63056419488898,-1.7088562481118332,TODO,1355951
1666,51.22310145978299,-1.782644852023817,TODO,1318514
1694,51.647547576791425,-1.9333551950709624,TODO,1023056
1711,51.438055585516224,-2.2607471922356797,TODO,1342898
1714,51.43380413393238,-2.183923601656115,TODO,1182272
1730,51.46081204018757,-2.1966465097776218,TODO,1022836
1738,51.43845430006178,-2.262736200910375,TODO,1022913
